"last_updated","state"
"2022-06-19 14:29:35.581783","13"
"2022-06-19 14:30:35.735562","12"
"2022-06-19 14:31:35.758019","10"
"2022-06-19 14:34:06.156012","10"
"2022-06-19 14:34:35.735193","10"
"2022-06-19 14:35:35.737584","9"
"2022-06-19 14:36:35.776398","8"
"2022-06-19 14:47:35.765492","9"
"2022-06-19 14:56:35.799621","8"
"2022-06-19 14:58:35.804569","7"
"2022-06-19 15:00:35.799017","6"
"2022-06-19 15:02:35.780508","5"
"2022-06-19 15:04:35.788863","6"
"2022-06-19 15:05:35.778042","5"
"2022-06-19 15:06:35.806234","4"
"2022-06-19 15:07:35.792932","3"
"2022-06-19 15:08:35.809463","4"
"2022-06-19 15:09:35.786303","3"
"2022-06-19 15:17:35.794117","2"
"2022-06-19 15:19:35.791885","3"
"2022-06-19 15:20:35.798721","5"
"2022-06-19 15:21:35.830560","6"
"2022-06-19 15:25:35.798569","5"
"2022-06-19 15:26:35.844259","6"
"2022-06-19 15:27:35.810189","7"
"2022-06-19 15:30:35.806742","9"
"2022-06-19 15:31:35.867746","8"
"2022-06-19 15:34:35.804291","7"
"2022-06-19 15:43:35.849099","6"
"2022-06-19 15:44:35.840598","5"
"2022-06-19 15:54:35.848592","6"
"2022-06-19 15:55:35.835651","8"
"2022-06-19 15:56:35.874498","9"
"2022-06-19 15:59:35.848196","10"
"2022-06-19 16:03:35.903531","11"
"2022-06-19 16:06:35.876502","12"
"2022-06-19 16:12:35.860346","11"
"2022-06-19 16:15:35.859909","12"
"2022-06-19 16:16:35.895407","14"
"2022-06-19 16:17:35.868750","15"
"2022-06-19 16:19:35.887874","14"
"2022-06-19 16:20:35.868974","16"
"2022-06-19 16:23:35.886960","17"
"2022-06-19 16:25:35.890612","18"
"2022-06-19 16:26:35.916920","19"
"2022-06-19 16:28:35.900538","20"
"2022-06-19 16:30:35.893832","21"
"2022-06-19 16:31:35.917588","22"
"2022-06-19 16:32:35.898599","21"
"2022-06-19 16:34:35.956024","23"
"2022-06-19 16:39:35.946402","24"
"2022-06-19 16:40:35.905241","23"
"2022-06-19 16:42:35.913133","22"
"2022-06-19 16:43:35.911374","20"
"2022-06-19 16:44:35.945342","21"
"2022-06-19 16:45:35.941683","22"
"2022-06-19 16:47:35.909341","24"
"2022-06-19 16:49:35.947179","26"
"2022-06-19 16:50:35.917421","27"
"2022-06-19 16:53:35.937234","26"
"2022-06-19 16:54:35.952642","27"
"2022-06-19 16:58:35.942037","28"
"2022-06-19 16:59:35.961819","30"
"2022-06-19 17:02:35.934316","31"
"2022-06-19 17:03:35.926605","32"
"2022-06-19 17:06:35.995304","31"
